fragment, used, inprojects, sloc, usedsloc, percent,,
4387534_1.java,3,1,20,10,0.5,,
7836146_3.java,3,1,28,10,0.36,,
7504040_0.java,3,1,22,6,0.27,,
13171520_0.java,3,1,22,5,0.23,,
1732506_0.java,3,1,25,5,0.2,,
7728817_0.java,3,1,27,5,0.19,,
21309519_1.java,3,1,50,9,0.18,,
7691963_0.java,3,1,30,5,0.17,,
21105036_0.java,3,1,34,5,0.15,,
8779209_0.java,3,1,42,5,0.12,,
16718736_0.java,3,1,44,5,0.11,,
5708120_0.java,3,1,65,5,0.08,,
12013910_2.java,3,1,67,5,0.07,,
5419632_0.java,3,1,120,7,0.06,,
22064171_0.java,3,1,104,5,0.05,,
7211514_0.java,3,1,135,6,0.04,,
10082128_2.java,3,1,114,5,0.04,,
11851968_0.java,3,1,115,5,0.04,,
13824658_2.java,3,1,202,8,0.04,,
19051537_0.java,2,2,88,63,0.72,,
13631637_0.java,2,2,7,5,0.71,,
3559815_0.java,2,2,24,10,0.42,,
3388910_0.java,2,2,25,5,0.2,,
17839323_0.java,2,2,26,5,0.19,,
10091556_0.java,2,2,47,9,0.19,,
22930527_1.java,2,2,29,5,0.17,,
10602740_0.java,2,2,43,5,0.12,,
11569335_1.java,2,2,59,5,0.08,,
11569335_0.java,2,2,60,5,0.08,,
15901708_0.java,2,2,65,5,0.08,,
13302801_0.java,2,2,111,5,0.05,,
9128840_0.java,2,2,144,5,0.03,,
16180910_0.java,2,1,15,13,0.87,,
6722760_0.java,2,1,6,5,0.83,,
25414160_0.java,2,1,11,9,0.82,,
21655754_0.java,2,1,10,7,0.7,,
8482425_0.java,2,1,9,6,0.67,,
23346101_1.java,2,1,22,13,0.59,,
1642629_1.java,2,1,14,7,0.5,,
21364076_1.java,2,1,15,7,0.47,,
4623777_0.java,2,1,15,6,0.4,,
12879764_0.java,2,1,41,15,0.37,,
9432435_0.java,2,1,28,10,0.36,,
21114828_0.java,2,1,28,10,0.36,,
8730169_0.java,2,1,29,10,0.34,,
21702608_0.java,2,1,36,12,0.33,,
16418306_0.java,2,1,22,7,0.32,,
17994928_0.java,2,1,16,5,0.31,,
22948074_0.java,2,1,23,7,0.3,,
23586872_1.java,2,1,21,6,0.29,,
12427981_1.java,2,1,55,15,0.27,,
1110491_0.java,2,1,44,11,0.25,,
4487541_0.java,2,1,25,6,0.24,,
4024890_0.java,2,1,30,7,0.23,,
23520731_0.java,2,1,75,17,0.23,,
2875015_0.java,2,1,46,10,0.22,,
9319652_1.java,2,1,35,7,0.2,,
18303692_0.java,2,1,68,11,0.16,,
24777272_0.java,2,1,39,6,0.15,,
11187462_0.java,2,1,87,12,0.14,,
20895609_0.java,2,1,85,11,0.13,,
16928749_0.java,2,1,98,12,0.12,,
17797136_0.java,2,1,44,5,0.11,,
10548630_0.java,2,1,106,11,0.1,,
16930707_0.java,2,1,71,7,0.1,,
22393642_0.java,2,1,76,7,0.09,,
7727999_0.java,2,1,203,8,0.04,,
7995857_0.java,2,1,285,7,0.02,,
5713930_0.java,1,1,16,15,0.94,,
2398335_0.java,1,1,16,15,0.94,,
15168494_0.java,1,1,30,28,0.93,,
23974103_0.java,1,1,36,33,0.92,,
20458485_0.java,1,1,12,11,0.92,,
10274267_0.java,1,1,12,11,0.92,,
3275733_0.java,1,1,12,11,0.92,,
14330686_0.java,1,1,12,11,0.92,,
3788516_0.java,1,1,12,11,0.92,,
21777900_0.java,1,1,12,11,0.92,,
14582029_0.java,1,1,12,11,0.92,,
2761630_0.java,1,1,11,10,0.91,,
23967852_0.java,1,1,20,18,0.9,,
8802082_2.java,1,1,20,18,0.9,,
801987_0.java,1,1,18,16,0.89,,
24963319_3.java,1,1,17,15,0.88,,
10737817_0.java,1,1,14,12,0.86,,
16058183_0.java,1,1,14,12,0.86,,
15429589_0.java,1,1,7,6,0.86,,
9291241_1.java,1,1,12,10,0.83,,
8713017_0.java,1,1,12,10,0.83,,
15633427_0.java,1,1,12,10,0.83,,
11930074_0.java,1,1,6,5,0.83,,
8611693_0.java,1,1,6,5,0.83,,
11913733_0.java,1,1,6,5,0.83,,
14845581_1.java,1,1,11,9,0.82,,
18137301_0.java,1,1,16,13,0.81,,
92962_0.java,1,1,62,49,0.79,,
8257554_0.java,1,1,14,11,0.79,,
25056629_1.java,1,1,14,11,0.79,,
17756093_0.java,1,1,9,7,0.78,,
13607687_0.java,1,1,9,7,0.78,,
24963319_2.java,1,1,13,10,0.77,,
11825416_0.java,1,1,13,10,0.77,,
5039178_3.java,1,1,8,6,0.75,,
24748828_0.java,1,1,7,5,0.71,,
8758512_0.java,1,1,12,8,0.67,,
14080238_0.java,1,1,9,6,0.67,,
7733735_0.java,1,1,8,5,0.63,,
227049_0.java,1,1,8,5,0.63,,
19044749_0.java,1,1,8,5,0.63,,
15383688_0.java,1,1,8,5,0.63,,
24924255_0.java,1,1,32,19,0.59,,
6441604_0.java,1,1,12,7,0.58,,
8478640_1.java,1,1,12,7,0.58,,
10636043_0.java,1,1,12,7,0.58,,
15839660_1.java,1,1,18,10,0.56,,
18928097_0.java,1,1,9,5,0.56,,
20414379_0.java,1,1,9,5,0.56,,
17739460_0.java,1,1,11,6,0.55,,
20166855_0.java,1,1,13,7,0.54,,
10599247_0.java,1,1,17,9,0.53,,
22553523_0.java,1,1,16,8,0.5,,
17606223_0.java,1,1,14,7,0.5,,
16761944_0.java,1,1,12,6,0.5,,
17297819_0.java,1,1,12,6,0.5,,
9556760_1.java,1,1,10,5,0.5,,
19340685_0.java,1,1,17,8,0.47,,
609430_0.java,1,1,17,8,0.47,,
8978831_2.java,1,1,15,7,0.47,,
9060013_0.java,1,1,15,7,0.47,,
3280700_1.java,1,1,13,6,0.46,,
22309263_0.java,1,1,13,6,0.46,,
7532965_0.java,1,1,13,6,0.46,,
3144444_0.java,1,1,11,5,0.45,,
2440228_0.java,1,1,11,5,0.45,,
23272461_10.java,1,1,23,10,0.43,,
8424176_0.java,1,1,23,10,0.43,,
