fragment, used, inprojects, sloc, usedsloc, percent,
11696992_0.java,7,7,116,5,0.04,
12604600_0.java,5,5,115,5,0.04,
11851968_0.java,3,3,115,5,0.04,
17342522_0.java,11,6,114,5,0.04,
10082128_2.java,3,3,114,5,0.04,
18630832_0.java,1,1,114,5,0.04,
13302801_0.java,2,2,111,5,0.05,
21678096_0.java,23,20,107,5,0.05,
14016914_0.java,1,1,105,5,0.05,
22064171_0.java,3,1,104,5,0.05,
12301173_0.java,5,5,100,5,0.05,
8472494_0.java,6,6,98,5,0.05,
23376059_0.java,4,4,98,5,0.05,
7732479_2.java,1,1,98,5,0.05,
10443975_0.java,1,1,97,5,0.05,
10752032_0.java,1,1,96,5,0.05,
19774879_0.java,8,6,94,5,0.05,
11097545_0.java,1,1,91,5,0.05,
16326090_1.java,1,1,89,5,0.06,
18974782_0.java,1,1,85,5,0.06,
14693840_2.java,1,1,85,5,0.06,
17164751_0.java,1,1,82,5,0.06,
21900950_0.java,8,6,78,5,0.06,
20082520_0.java,9,6,75,5,0.07,
12943487_0.java,5,5,74,5,0.07,
15421552_0.java,5,5,71,5,0.07,
13587740_0.java,5,5,69,5,0.07,
21642132_0.java,23,20,68,5,0.07,
12013910_2.java,3,3,67,5,0.07,
5708120_0.java,3,2,65,5,0.08,
15901708_0.java,2,2,65,5,0.08,
7183748_0.java,1,1,64,5,0.08,
25569957_0.java,1,1,63,5,0.08,
12913121_0.java,5,5,62,5,0.08,
16813782_0.java,1,1,61,5,0.08,
11569335_0.java,2,2,60,5,0.08,
24780122_0.java,1,1,60,5,0.08,
11569335_1.java,2,2,59,5,0.08,
17220973_0.java,1,1,59,5,0.08,
12640454_0.java,5,5,58,5,0.09,
1805910_0.java,1,1,58,5,0.09,
23691316_0.java,1,1,58,5,0.09,
6722760_1.java,4,2,57,5,0.09,
13293946_0.java,5,5,49,5,0.10,
16718736_0.java,3,1,44,5,0.11,
17797136_0.java,2,1,44,5,0.11,
10602740_0.java,2,2,43,5,0.12,
7732479_1.java,6,6,42,5,0.12,
8037824_0.java,4,2,42,5,0.12,
8779209_0.java,3,1,42,5,0.12,
3376242_0.java,1,1,42,5,0.12,
6291363_0.java,1,1,41,5,0.12,
4268247_1.java,23,20,38,5,0.13,
4199439_0.java,1,1,37,5,0.14,
21105036_0.java,3,3,34,5,0.15,
14677473_0.java,1,1,34,5,0.15,
19952325_0.java,8,6,32,5,0.16,
13336902_2.java,1,1,32,5,0.16,
12917441_0.java,1,1,32,5,0.16,
