fragment, used, inprojects, sloc, usedsloc, percent,
13972872_0.java,153168,5383,49,4,0.081632653,
11058682_0.java,153150,3455,53,6,0.113207547,
24475366_0.java,153118,4113,36,6,0.166666667,
15248123_0.java,153025,5261,86,4,0.046511628,
22622437_0.java,152831,3600,44,4,0.090909091,
13674619_1.java,152684,5244,198,4,0.02020202,
13674619_0.java,152668,5215,101,4,0.03960396,
23332186_0.java,152657,5213,147,4,0.027210884,
12255302_0.java,152645,5213,66,4,0.060606061,
20766931_1.java,152600,5208,62,4,0.064516129,
12584645_1.java,152455,5247,213,4,0.018779343,
10369974_3.java,152328,4996,150,4,0.026666667,
7775482_0.java,151447,3476,41,6,0.146341463,
17128335_0.java,151326,5100,75,4,0.053333333,
23166907_0.java,151188,5079,134,4,0.029850746,
14096003_0.java,151059,4959,29,4,0.137931034,
19533796_0.java,150956,3259,22,6,0.272727273,
9965666_0.java,150910,4972,105,4,0.038095238,
13736304_0.java,150746,4941,69,4,0.057971014,
13940184_0.java,150684,4990,123,4,0.032520325,
17647119_0.java,150461,4865,116,4,0.034482759,
24110581_0.java,150436,4857,51,4,0.078431373,
16096156_0.java,150435,4860,73,4,0.054794521,
15706453_0.java,150414,4860,52,4,0.076923077,
21892165_1.java,150376,4863,49,4,0.081632653,
11429050_0.java,150363,4857,96,4,0.041666667,
20831590_0.java,150356,4851,9,4,0.444444444,
24255101_0.java,150356,4851,11,5,0.454545455,
11151442_0.java,150356,4851,9,4,0.444444444,
6877681_0.java,150356,4851,8,4,0.5,
12472819_0.java,150356,4851,10,5,0.5,
24926953_1.java,150356,4851,10,5,0.5,
22125607_0.java,146745,7920,30,6,0.2,
21535828_0.java,145258,698,69,17,0.246376812,
22160470_1.java,144938,9219,301,6,0.019933555,
21142088_0.java,144918,3693,146,6,0.04109589,
20313138_0.java,144372,4261,39,6,0.153846154,
25377889_0.java,144226,5891,31,6,0.193548387,
10194435_0.java,143809,4171,61,6,0.098360656,
7383847_1.java,143700,4170,63,6,0.095238095,
1514773_0.java,143486,3853,73,6,0.082191781,
16744354_0.java,143374,4131,40,6,0.15,
3212907_0.java,143331,4808,52,4,0.076923077,
21425084_1.java,142957,3984,28,6,0.214285714,
17997605_0.java,142957,3984,28,6,0.214285714,
20444710_3.java,142957,3984,28,6,0.214285714,
25321858_0.java,142957,3984,29,6,0.206896552,
16292834_0.java,142500,4019,72,6,0.083333333,
16566044_0.java,142438,3968,58,6,0.103448276,
8852086_0.java,141929,3987,162,6,0.037037037,
21907242_0.java,141779,3925,32,5,0.15625,
19700347_1.java,141723,3874,26,6,0.230769231,
2875015_0.java,141723,3874,46,6,0.130434783,
20577069_0.java,141694,3907,33,6,0.181818182,
15403014_0.java,141640,3842,36,6,0.166666667,
11698684_0.java,141594,3838,82,6,0.073170732,
19976376_1.java,141593,3837,23,6,0.260869565,
3559815_0.java,141593,3837,24,6,0.25,
22501464_0.java,141593,3837,23,6,0.260869565,
1456673_0.java,141593,3837,23,6,0.260869565,
11937204_2.java,141593,3837,24,6,0.25,
11083864_4.java,141593,3837,24,6,0.25,
9224873_0.java,141593,3837,23,6,0.260869565,
13417932_2.java,141593,3837,23,6,0.260869565,
23272461_10.java,141593,3837,23,6,0.260869565,
1453996_0.java,141593,3837,23,6,0.260869565,
23272461_11.java,141593,3837,23,6,0.260869565,
17260065_0.java,141593,3837,23,6,0.260869565,
24279173_2.java,141593,3837,24,6,0.25,
9432435_0.java,141130,3828,28,6,0.214285714,
5908632_2.java,141075,3821,24,6,0.25,
22959859_1.java,141075,3821,21,6,0.285714286,
13505078_1.java,139855,4146,54,5,0.092592593,
7272251_0.java,139333,3698,29,6,0.206896552,
23778449_0.java,137006,3638,46,6,0.130434783,
