fragment, used, inprojects, sloc, usedsloc, percent
792627_0.java,5,3,11,7,0.6363636363636364
6616996_0.java,2,2,6,4,0.6666666666666666
16002059_0.java,244,131,13,5,0.38461538461538464
15116744_0.java,1,1,13,4,0.3076923076923077
5882174_0.java,119,94,29,5,0.1724137931034483
14542306_0.java,6,5,54,6,0.1111111111111111
16416214_1.java,12,12,33,4,0.12121212121212122
9868188_0.java,1,1,83,7,0.08433734939759036
23010904_0.java,1,1,25,6,0.24
14471439_0.java,160,72,14,4,0.2857142857142857
25239850_0.java,1,1,22,4,0.18181818181818182
5407898_3.java,1,1,13,5,0.38461538461538464
23098690_0.java,34,34,28,4,0.14285714285714285
21773406_0.java,7,7,15,5,0.3333333333333333
24912958_2.java,2953,586,10,4,0.4
10901140_0.java,2,1,27,4,0.14814814814814814
9337967_0.java,97850,4859,25,4,0.16
8748322_0.java,7,3,89,7,0.07865168539325842
22278573_1.java,579,408,22,4,0.18181818181818182
25263325_0.java,312,222,56,4,0.07142857142857142
15711902_0.java,1,1,9,5,0.5555555555555556
19877763_0.java,6,1,9,4,0.4444444444444444
22330684_0.java,1,1,68,5,0.07352941176470588
23295744_1.java,74380,4329,20,4,0.2
12356510_2.java,22,21,29,4,0.13793103448275862
17288825_0.java,1776,1037,12,4,0.3333333333333333
6750906_1.java,3,3,16,5,0.3125
12646346_1.java,264,146,20,5,0.25
23535013_0.java,34,27,7,4,0.5714285714285714
21109089_0.java,10,3,13,4,0.3076923076923077
6157299_0.java,1016,858,18,5,0.2777777777777778
14691706_0.java,5,4,43,4,0.09302325581395349
24974406_0.java,37,36,7,4,0.5714285714285714
11854753_2.java,1,1,12,5,0.4166666666666667
24056686_0.java,133189,3259,20,6,0.3
15840032_0.java,2,2,13,4,0.3076923076923077
10680128_0.java,7,5,30,4,0.13333333333333333
21336616_2.java,8924,988,63,4,0.06349206349206349
23875040_0.java,1,1,13,7,0.5384615384615384
9320914_0.java,2,2,7,5,0.7142857142857143
4022734_1.java,1,1,9,6,0.6666666666666666
6702420_0.java,4,4,48,6,0.125
3057970_0.java,67,37,21,4,0.19047619047619047
9416622_0.java,5,3,11,7,0.6363636363636364
23429923_0.java,29,12,10,5,0.5
20133806_0.java,39,36,15,4,0.26666666666666666
13704999_0.java,14,12,8,4,0.5
22314620_0.java,1299,164,243,6,0.024691358024691357
