SD,SE,ND,NE
,5,8,9
,4,8,7
,6,9,6
,5,,5
,6,,4
,4,,7
,5,,7
,4,,7
,4,,5
,4,,5
,5,,5
,5,,5
,6,,4
,4,,4
,5,,5
,6,,6
,5,,7
,5,,4
,4,,7
,4,,6
,4,,5
,6,,6
,4,,7
,4,,6
,4,,4
,6,,4
,6,,5
,5,,6
,5,,5
,5,,4
,4,,5
,4,,7
,4,,8
,5,,4
,5,,4
,5,,8
,8,,4
,4,,4
,5,,6
,6,,4
,7,,7
,5,,4
,7,,4
,4,,6
,5,,4
,4,,5
,5,,4
,6,,6
,4,,5
,5,,4
,7,,6
,5,,4
,4,,8
,6,,4
,4,,6
,4,,6
,4,,8
,6,,4
,5,,8
,4,,5
,6,,4
,6,,4
,6,,5
,6,,8
,6,,5
,6,,6
,5,,8
,5,,4
,4,,4
,5,,7
,5,,4
,5,,5
,4,,5
,5,,5
,4,,4
,4,,6
,7,,7
,4,,4
,5,,4
,4,,5
,5,,6
,4,,7
,5,,5
,6,,4
,5,,4
,4,,5
,4,,5
,4,,8
,6,,6
,4,,4
,4,,5
,4,,4
,4,,11
,6,,4
,4,,7
,5,,4
,5,,6
,4,,6
,4,,9
,4,,7
,6,,4
,4,,8
,5,,6
,5,,4
,5,,5
,4,,5
,5,,6
,4,,5
,5,,4
,5,,4
,6,,4
,5,,4
,4,,6
,4,,7
,4,,5
,5,,4
,6,,4
,10,,9
,6,,5
,4,,11
,4,,7
,4,,6
,5,,7
,6,,6
,5,,4
,5,,4
,4,,4
,4,,5
,5,,4
,4,,4
,4,,4
,6,,4
,4,,4
,5,,5
,5,,6
,6,,6
,6,,4
,6,,5
,4,,4
,4,,4
,6,,4
,4,,4
,5,,4
,,,6
,,,4
,,,6
,,,4
,,,5
,,,4
,,,5
,,,7
,,,8
,,,4
,,,4
,,,4
,,,6
,,,4
,,,6
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,6
,,,5
,,,5
,,,4
,,,6
,,,7
,,,5
,,,4
,,,4
,,,8
,,,4
,,,4
,,,4
,,,5
,,,4
,,,7
,,,4
,,,8
,,,7
,,,5
,,,5
,,,5
,,,4
,,,5
,,,4
,,,5
,,,7
,,,6
,,,5
,,,7
,,,4
,,,5
,,,4
,,,4
,,,9
,,,5
,,,6
,,,6
,,,4
,,,7
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,5
,,,5
,,,4
,,,4
,,,4
,,,9
,,,5
,,,6
,,,5
,,,4
,,,5
,,,4
,,,5
,,,5
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,6
,,,7
,,,5
,,,7
,,,5
,,,9
,,,4
,,,6
,,,5
,,,5
,,,4
,,,4
,,,6
,,,6
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,6
,,,5
,,,4
,,,4
,,,6
,,,8
,,,4
,,,4
,,,5
,,,7
,,,6
,,,6
,,,4
,,,4
,,,4
,,,6
,,,6
,,,5
,,,4
,,,6
,,,5
,,,15
,,,5
,,,7
,,,4
,,,8
,,,4
,,,5
,,,4
,,,4
,,,6
,,,4
,,,6
,,,5
,,,4
,,,9
,,,5
,,,4
,,,7
,,,5
,,,6
,,,5
,,,5
,,,5
,,,5
,,,7
,,,5
,,,5
,,,4
,,,6
,,,4
,,,4
,,,6
,,,7
,,,7
,,,5
,,,5
,,,4
,,,5
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,12
,,,4
,,,4
,,,7
,,,5
,,,4
,,,7
,,,4
,,,9
,,,4
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,5
,,,6
,,,8
,,,5
,,,5
,,,4
,,,5
,,,5
,,,5
,,,4
,,,7
,,,6
,,,7
,,,8
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,8
,,,4
,,,6
,,,4
,,,5
,,,7
,,,4
,,,5
,,,6
